TC Values: Table 1
TC Name,School,Value
Astral Shard,6,2-3
Black Coal,1,< 1
Black Lotus,3,< 1
Black Pearl,5,1-3
Blood Moss,4,1-3
Bone,2,< 1
Brass,5,1-3
Bronze,6,1-3
Bronze Gear,2,< 1
Cat Tail,1,< 1
Citrine,1,< 1
Cobalt,5,< 1
Comet Tail,6,1-2
Copper,3,< 1
Crystal Vial,4,< 1
Deep Mushroom,1,< 1
Diamond,3,1-3
Draconium,10,1-3
Ectoplasm,2,< 1
Fire Blossom,6,< 1
Fish Fin,6,2-3
Flawless Amethyst,3,< 1
Flawless Citrine,3,< 1
Flawless Hematite,3,< 1
Flawless Jade,3,< 1
Flawless Onyx,3,< 1
Flawless Opal,3,< 1
Flawless Peridot,3,< 1
Flawless Ruby,3,< 1
Flawless Sapphire,3,< 1
Flying Squid Ink,7,6-12
Fossil,3,1-3
Frost Flower,2,< 1
Fulgurite,6,1-3
Ghost Fire,3,< 1
Glass Sliver,6,5-8
Glass Vial,3,< 1
Golden Pearl,6,< 1
Grendelweed,4,1-3
Iridium,12,6-12
Iron,2,< 1
Jade,1,< 1
Kelp,6,< 1
Lava Lily,4,< 1
Lead,3,< 1
Leather Straps,2,< 1
Mist Wood,1,< 1
Mithril,8,1-4
Nickel,4,1
Nightshade,3,1-3
Onyx,1,< 1
Opal,1,< 1
Ore,1,< 1
Orichalcum,9,2-4
Palladium,11,6-12
Parchment,2,< 1
Pearl,6,< 1
Perfect Amethyst,6,< 1
Perfect Citrine,6,< 1
Perfect Hematite,6,< 1
Perfect Jade,6,< 1
Perfect Onyx,6,< 1
Perfect Opal,6,< 1
Perfect Peridot,6,< 1
Perfect Ruby,6,< 1
Perfect Sapphire,6,< 1
Peridot,1,< 1
Platinum,13,8-15
Pristine Vial,6,1
Pyrite,1,< 1
Red Mandrake,2,< 1
Ruby,1,< 1
Sandstone,6,< 1
Sapphire,1,< 1
Scales,6,1-3
Scrap Iron,3,< 1
Shadow Oil,2,< 1
Shell,6,< 1
Shining Scales,10,6-12
Shocked Key,10,4-8
Silver,7,1-3
Simple Vial,2,< 1
Spider Silk,2,< 1
Spring,5,1-3
Stardust,6,3-6
Steel,6,1-4
Stone Block,1,< 1
Sunstone,6,1-4
Tin,4,< 1
Titanium,8,2-5
Tungsten,7,2-4
Turquoise,6,2-5
Water Lily,3,1-3
